Luas Tanam Panen dan Produksi Komoditi Padi Tahun 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kecamatan,Januari,,,Februari,,,Maret,,,April,,,Mei,,,Juni,,,Juli ,,,Agustus,,,Sept,,,Okt,,,Nov,,,Des,,,Total,,,IP,,
,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,,,
Gunung Meriah,0,0,0,24,31.7,198.4737,0,229.7,1438.1517,0,0,0,5.8,34.6,216.6306,246,0,0,213.4,0,0,0,5.8,36.3138,19.2,246,1540.206,96.1,213.4,1336.0974,349.8,0,0,0,19.2,120.2112,954.3,780.4,4886.0844,1.971694215,,484
Stm Hulu,0,51.9,324.9459,0,216.2,1353.6282,0,422.9,2647.7769,0,0,0,39.4,23.1,144.6291,100.9,0,0,209.5,0,0,0,39.4,246.6834,39.4,100.9,631.7349,72.1,209.5,1311.6795,63.4,0,0,0,39.4,246.6834,524.7,1103.3,6907.7613,1.441483516,,364
Sibolangit,0,95.1,595.4211,0,1,6.261,0,0,0,30.8,0,0,217.2,0,0,0,0,0,0,2.9,18.1569,0,217.2,1359.8892,248,30.8,192.8388,0,0,0,0,248,1552.728,25,0,0,521,595,3725.295,2.019379845,,258
Kutalimbaru,0,45.2,282.9972,429.6,141.3,884.6793,0,0,0,0,0,0,0,146.1,914.7321,33.6,0,0,396.9,310.4,1943.4144,0,0,0,0,33.6,210.3696,0,396.9,2484.9909,254.7,0,0,0,0,0,1114.8,1073.5,6721.1835,2.488392857,,448
Pancur Batu,0,137.4,860.2614,0,0,0,0,0,0,38.4,0,0,27.9,0,0,148,0,0,0,38.4,240.4224,38.4,27.9,174.6819,27.9,148,926.628,0,0,0,148,38.4,240.4224,66.3,27.9,174.6819,494.9,418,2617.098,2.219282511,,223
Namo Rambe,0,334.5,2094.3045,0,65.4,409.4694,0,0,0,407.5,0,0,120.1,0,0,0,0,0,121.1,407.5,2551.3575,407.5,120.1,751.9461,120.1,0,0,0,121.1,758.2071,121.1,527.6,3303.3036,135.5,0,0,1432.9,1576.2,9868.5882,2.122814815,,675
Biru-biru,256.6,180.7,1131.3627,18.3,18.3,114.5763,2.9,203.8,1275.9918,7.7,237.4,1486.3614,50.9,34.6,216.6306,116.3,2.9,18.1569,223,7.7,48.2097,103.8,50.9,318.6849,101.9,116.3,728.1543,26.9,223,1396.203,261.4,103.8,649.8918,0,101.9,637.9959,1169.7,1281.3,8022.2193,2.275680934,,514
Stm Hilir,195.1,513.2,3213.1452,65.4,65.4,409.4694,0,105.7,661.7877,25.9,177.8,1113.2058,69.2,56.7,354.9987,136.5,0,0,108.6,15.4,96.4194,15.4,69.2,433.2612,81.7,136.5,854.6265,11.5,108.6,679.9446,159.5,15.4,96.4194,0,81.7,511.5237,868.8,1345.6,8424.8016,2.454237288,,354
Bangun Purba,0,12.5,78.2625,11.5,0,0,0,0,0,0,0,0,4.8,12.5,78.2625,33.6,0,0,24,0,0,0,4.8,30.0528,4.8,33.6,210.3696,0,24,150.264,57.7,0,0,0,4.8,30.0528,136.4,92.2,577.2642,2.098461538,,65
Galang,7.7,444,2779.884,0,182.6,1143.2586,0,307.6,1925.8836,91.3,0,0,533.4,0,0,57.7,0,0,0,86.5,541.5765,86.5,533.4,3339.6174,336.4,57.7,361.2597,259.5,14.4,90.1584,14.4,86.5,541.5765,0,336.4,2106.2004,1386.9,2049.1,12829.4151,1.953380282,,710
Tanjung Morawa,0,1413.8,8851.8018,0,367.1,2298.4131,37.5,288.3,1805.0463,70.2,25,156.525,1116.8,0,0,1061.1,37.5,234.7875,63.4,70.2,439.5222,81.7,1116.8,6992.2848,1116.8,1061.1,6643.5471,196.1,63.4,396.9474,808.3,81.7,511.5237,1350.3,1116.8,6992.2848,5902.2,5641.7,35322.6837,2.441952834,,2417
Patumbak,0,154.7,968.5767,0,68.2,427.0002,0,57.7,361.2597,10.6,10.6,66.3666,13.5,0,0,83.6,0,0,105.7,10.6,66.3666,5.8,13.5,84.5235,30.8,83.6,523.4196,26.9,105.7,661.7877,67.3,5.8,36.3138,106.7,30.8,192.8388,450.9,541.2,3388.4532,2.077880184,,217
Deli Tua,4.8,3.8,23.7918,0,4.8,30.0528,0,4.8,30.0528,0,0,0,9.6,0,0,3.8,0,0,0,0,0,0,9.6,60.1056,0,3.8,23.7918,13.5,0,0,0,0,0,0,0,0,31.7,26.8,167.7948,2.264285714,,14
Sunggal,0,149,932.889,252.8,542.1,3394.0881,33.6,0,0,9.6,0,0,689.1,252.8,1582.7808,454.6,0,0,348.9,43.2,270.4752,170.1,689.1,4314.4551,528.6,454.6,2846.2506,627.6,348.9,2184.4629,175.9,170.1,1064.9961,0,528.6,3309.5646,3290.8,3178.4,19899.9624,2.10543826,,1563
Hamparan Perak,0,707.4,4429.0314,0,192.2,1203.3642,48.1,270.1,1691.0961,192.2,288.3,1805.0463,240.3,384.4,2406.7284,1249.4,96.1,601.6821,2582.5,515.1,3225.0411,1433,240.3,1504.5183,816,1249.4,7822.4934,1323.4,2979.4,18654.0234,2281.7,1433,8972.013,2210.5,816.9,5114.6109,12377.1,9172.6,57429.6486,2.179834449,,5678
Labuhan Deli,0,1757.9,11006.2119,0,975.5,6107.6055,0,62.5,391.3125,149,81.7,511.5237,519,0,0,2805.5,149,932.889,96.1,0,0,149,519,3249.459,519,2656.5,16632.3465,1922.2,96.1,601.6821,979.4,288.3,1805.0463,149,519,3249.459,7288.2,7105.5,44487.5355,2.047822422,,3559
Percut S Tuan,18.3,635.3,3977.6133,0,1224.4,7665.9684,38.4,735.2,4603.0872,371.9,0,0,2594,0,0,1693.5,0,0,0,118.2,740.0502,339.3,2594,16241.034,1441.7,1693.5,10603.0035,1057.2,480.6,3009.0366,2787.2,547.8,3429.7758,555.5,1441.7,9026.4837,10897,9470.7,59296.0527,2.145923592,,5078
Batang Kuis,0,778.5,4874.1885,0,0,0,103.8,0,0,9.6,179.7,1125.1017,77.8,19.2,120.2112,788.1,92.3,577.8903,103.8,9.6,60.1056,9.6,841,5265.501,77.8,96.1,601.6821,211.4,24,150.264,600.7,9.6,60.1056,0,77.8,487.1058,1982.6,2127.8,13322.1558,1.945632974,,1019
Pantai Labu,0,2395.1,14995.7211,0,0,0,0,0,0,96.1,0,0,1176.4,935.1,5854.6611,2710.3,0,0,0,268.1,1678.5741,118.2,1176.4,7365.4404,1154.3,1922.2,12034.8942,1249.4,0,0,1460.9,884.2,5535.9762,0,1154.3,7227.0723,7965.6,8735.4,54692.3394,1.922200772,,4144
Beringin,0,573.8,3592.5618,0,1264.8,7918.9128,153.8,0,0,96.1,0,0,1490.7,0,0,940.9,153.8,962.9418,0,96.1,601.6821,0,1490.7,9333.2727,1399.4,940.9,5890.9749,1176.4,0,0,0,0,0,0,1399.4,8761.6434,5257.3,5919.5,37061.9895,1.961679104,,2680
Lubuk Pakam,0,1022.6,6402.4986,0,393.1,2461.1991,0,0,0,0,0,0,841,0,0,544,0,0,0,0,0,0,841,5265.501,497.8,544,3405.984,887.1,0,0,0,0,0,0,497.8,3116.7258,2769.9,3298.5,20651.9085,1.922206801,,1441
Pagar Merbau,0,442.1,2767.9881,0,0,0,0,451.7,2828.0937,259.5,0,0,1567.6,0,0,178.8,0,0,0,192.2,1203.3642,0,1567.6,9814.7436,985.1,246,1540.206,838.1,0,0,182.6,0,0,0,985.1,6167.7111,4011.7,3884.7,24322.1067,1.92223287,,2087
JUMLAH,482.5,11848.5,74183.4585,801.6,5754.1,36026.4201,418.1,3140,19659.54,1866.4,1000.5,6264.1305,11404.5,1899.1,11890.2651,13386.2,531.6,3328.3476,4596.9,2192.1,13724.7381,2958.3,12167.7,76181.9697,9546.7,11855.1,74224.7811,9995.4,5409,33865.749,10774,4440.2,27800.0922,4598.8,9179.5,57472.8495,70829.4,69417.4,434619.837,2.083707931,,33992
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kecamatan,Agustus,,,Sept,,,Okt,,,Nov,,,Des,,,Total,,,IP,,,,,,,,,,,,,,,,,,,,,,,
,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,,,,,,,,,,,,,,,,,,,,,,,,
Gunung Meriah,0,5.8,36.3138,19.2,246,1540.206,96.1,213.4,1336.0974,349.8,0,0,0,19.2,120.2112,954.3,780.4,4886.0844,1.971694215,,484,,,,,,,,,,,,,,,,,,,,,
Stm Hulu,0,39.4,246.6834,39.4,100.9,631.7349,72.1,209.5,1311.6795,63.4,0,0,0,39.4,246.6834,524.7,1103.3,6907.7613,1.441483516,,364,,,,,,,,,,,,,,,,,,,,,
Sibolangit,0,217.2,1359.8892,248,30.8,192.8388,0,0,0,0,248,1552.728,25,0,0,521,595,3725.295,2.019379845,,258,,,,,,,,,,,,,,,,,,,,,
Kutalimbaru,0,0,0,0,33.6,210.3696,0,396.9,2484.9909,254.7,0,0,0,0,0,1114.8,1073.5,6721.1835,2.488392857,,448,,,,,,,,,,,,,,,,,,,,,
Pancur Batu,38.4,27.9,174.6819,27.9,148,926.628,0,0,0,148,38.4,240.4224,66.3,27.9,174.6819,494.9,418,2617.098,2.219282511,,223,,,,,,,,,,,,,,,,,,,,,
Namo Rambe,407.5,120.1,751.9461,120.1,0,0,0,121.1,758.2071,121.1,527.6,3303.3036,135.5,0,0,1432.9,1576.2,9868.5882,2.122814815,,675,,,,,,,,,,,,,,,,,,,,,
Biru-biru,103.8,50.9,318.6849,101.9,116.3,728.1543,26.9,223,1396.203,261.4,103.8,649.8918,0,101.9,637.9959,1169.7,1281.3,8022.2193,2.275680934,,514,,,,,,,,,,,,,,,,,,,,,
Stm Hilir,15.4,69.2,433.2612,81.7,136.5,854.6265,11.5,108.6,679.9446,159.5,15.4,96.4194,0,81.7,511.5237,868.8,1345.6,8424.8016,2.454237288,,354,,,,,,,,,,,,,,,,,,,,,
Bangun Purba,0,4.8,30.0528,4.8,33.6,210.3696,0,24,150.264,57.7,0,0,0,4.8,30.0528,136.4,92.2,577.2642,2.098461538,,65,,,,,,,,,,,,,,,,,,,,,
Galang,86.5,533.4,3339.6174,336.4,57.7,361.2597,259.5,14.4,90.1584,14.4,86.5,541.5765,0,336.4,2106.2004,1386.9,2049.1,12829.4151,1.953380282,,710,,,,,,,,,,,,,,,,,,,,,
Tanjung Morawa,81.7,1116.8,6992.2848,1116.8,1061.1,6643.5471,196.1,63.4,396.9474,808.3,81.7,511.5237,1350.3,1116.8,6992.2848,5902.2,5641.7,35322.6837,2.441952834,,2417,,,,,,,,,,,,,,,,,,,,,
Patumbak,5.8,13.5,84.5235,30.8,83.6,523.4196,26.9,105.7,661.7877,67.3,5.8,36.3138,106.7,30.8,192.8388,450.9,541.2,3388.4532,2.077880184,,217,,,,,,,,,,,,,,,,,,,,,
Deli Tua,0,9.6,60.1056,0,3.8,23.7918,13.5,0,0,0,0,0,0,0,0,31.7,26.8,167.7948,2.264285714,,14,,,,,,,,,,,,,,,,,,,,,
Sunggal,170.1,689.1,4314.4551,528.6,454.6,2846.2506,627.6,348.9,2184.4629,175.9,170.1,1064.9961,0,528.6,3309.5646,3290.8,3178.4,19899.9624,2.10543826,,1563,,,,,,,,,,,,,,,,,,,,,
Hamparan Perak,1433,240.3,1504.5183,816,1249.4,7822.4934,1323.4,2979.4,18654.0234,2281.7,1433,8972.013,2210.5,816.9,5114.6109,12377.1,9172.6,57429.6486,2.179834449,,5678,,,,,,,,,,,,,,,,,,,,,
Labuhan Deli,149,519,3249.459,519,2656.5,16632.3465,1922.2,96.1,601.6821,979.4,288.3,1805.0463,149,519,3249.459,7288.2,7105.5,44487.5355,2.047822422,,3559,,,,,,,,,,,,,,,,,,,,,
Percut S Tuan,339.3,2594,16241.034,1441.7,1693.5,10603.0035,1057.2,480.6,3009.0366,2787.2,547.8,3429.7758,555.5,1441.7,9026.4837,10897,9470.7,59296.0527,2.145923592,,5078,,,,,,,,,,,,,,,,,,,,,
Batang Kuis,9.6,841,5265.501,77.8,96.1,601.6821,211.4,24,150.264,600.7,9.6,60.1056,0,77.8,487.1058,1982.6,2127.8,13322.1558,1.945632974,,1019,,,,,,,,,,,,,,,,,,,,,
Pantai Labu,118.2,1176.4,7365.4404,1154.3,1922.2,12034.8942,1249.4,0,0,1460.9,884.2,5535.9762,0,1154.3,7227.0723,7965.6,8735.4,54692.3394,1.922200772,,4144,,,,,,,,,,,,,,,,,,,,,
Beringin,0,1490.7,9333.2727,1399.4,940.9,5890.9749,1176.4,0,0,0,0,0,0,1399.4,8761.6434,5257.3,5919.5,37061.9895,1.961679104,,2680,,,,,,,,,,,,,,,,,,,,,
Lubuk Pakam,0,841,5265.501,497.8,544,3405.984,887.1,0,0,0,0,0,0,497.8,3116.7258,2769.9,3298.5,20651.9085,1.922206801,,1441,,,,,,,,,,,,,,,,,,,,,
Pagar Merbau,0,1567.6,9814.7436,985.1,246,1540.206,838.1,0,0,182.6,0,0,0,985.1,6167.7111,4011.7,3884.7,24322.1067,1.92223287,,2087,,,,,,,,,,,,,,,,,,,,,
JUMLAH,2958.3,12167.7,76181.9697,9546.7,11855.1,74224.7811,9995.4,5409,33865.749,10774,4440.2,27800.0922,4598.8,9179.5,57472.8495,70829.4,69417.4,434619.837,2.083707931,,33992,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ket:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* angka Tetap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
